barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,price_ratio,retailer_count,reason_for_flag
3141360054405,ריח למדיח עד 60 הדחות בניחוח לימון (₪438 ל-),Good Pharm,14.9,226.45,29.395973154362416,2,Unit/Package Mismatch (Lowest price for barcode with 29.4x variance)
7290112005694,דורקס קונדומים Safe Extra בתוספת חומר סיכוך עבים במקצת בעיצוב On-Easy לנוחות והתאמה מירבית. (₪4.20 ליחידה),Be Pharm,122.0,99.9,29.047619047619047,3,Unit/Package Mismatch (Same barcode has 29.0x price variance)
7290112005694,דורקס קונדומים Safe Extra בתוספת חומר סיכוך עבים במקצת בעיצוב On-Easy לנוחות והתאמה מירבית. (₪4.20 ליחידה),Good Pharm,99.9,99.9,29.047619047619047,3,Unit/Package Mismatch (Same barcode has 29.0x price variance)
7290112005632,דורקס קונדומים THIN FEEL EXTRA THIN (₪4.20 ליחידה),Good Pharm,99.9,99.9,29.047619047619047,3,Unit/Package Mismatch (Same barcode has 29.0x price variance)
7290112005632,דורקס קונדומים THIN FEEL EXTRA THIN (₪4.20 ליחידה),Super-Pharm,4.2,99.9,29.047619047619047,3,Unit/Package Mismatch (Lowest price for barcode with 29.0x variance)
7290112005632,דורקס קונדומים THIN FEEL EXTRA THIN (₪4.20 ליחידה),Be Pharm,122.0,99.9,29.047619047619047,3,Unit/Package Mismatch (Same barcode has 29.0x price variance)
7290112005694,דורקס קונדומים Safe Extra בתוספת חומר סיכוך עבים במקצת בעיצוב On-Easy לנוחות והתאמה מירבית. (₪4.20 ליחידה),Super-Pharm,4.2,99.9,29.047619047619047,3,Unit/Package Mismatch (Lowest price for barcode with 29.0x variance)
693493259330,CALM IT,Super-Pharm,6.66,99.83,28.97897897897898,2,Unit/Package Mismatch (Lowest price for barcode with 29.0x variance)
693493259330,CALM IT,Be Pharm,193.0,99.83,28.97897897897898,2,Unit/Package Mismatch (Same barcode has 29.0x price variance)
7290000262413,אקסטרה קר חיתולים מידה 5 12- (₪1.90 ליחידה),Good Pharm,54.9,28.4,28.894736842105264,2,Unit/Package Mismatch (Same barcode has 28.9x price variance)
7290000262413,אקסטרה קר חיתולים מידה 5 12- (₪1.90 ליחידה),Super-Pharm,1.9,28.4,28.894736842105264,2,Unit/Package Mismatch (Lowest price for barcode with 28.9x variance)
7290000197548,פרידום דריי חיתולים מידה 5 12- (₪1.53 ליחידה),Good Pharm,43.9,22.715,28.692810457516337,2,Unit/Package Mismatch (Same barcode has 28.7x price variance)
