barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,reason_for_flag
0651080153515,חוט דנטלי עם ידית לשימוש רב פעמי לילדים (₪0.56 ליחידה),Super-Pharm,0.56,0.56,Suspected Unit Price (Keyword)
0651080161510,חוט דנטלי עם ידית לשיניים צפופות מנטה (₪0.45 ליחידה),Super-Pharm,0.45,0.45,Suspected Unit Price (Keyword)
0651080366519,טווין ליין חוט דנטלי כפול עם ידית (₪0.56 ליחידה),Super-Pharm,0.56,0.56,Suspected Unit Price (Keyword)
0651080647519,חוט דנטלי עם ידית לשימוש רב פעמי מנטה (₪0.44 ליחידה),Super-Pharm,0.44,0.44,Suspected Unit Price (Keyword)
0693493184731,ביאמבה פאמפ אפUP משאבת חלב זוגית - biamba pump UP 2 double (₪495 ליחידה),Super-Pharm,495.0,495.0,Suspected Unit Price (Keyword)
0693493220446,pump pro double - ביאמבה פאמפ פרו משאבת חלב זוגית (₪645 ליחידה),Super-Pharm,645.0,645.0,Suspected Unit Price (Keyword)
0693493282826,Exclusive Hair Removal Strips רצועות נייר להסרת שיער (₪0.18 ליחידה),Super-Pharm,0.18,0.18,Suspected Unit Price (Keyword)
0693493284929,שעווה אורתודנטית אישית לברקטים וחוטים אורתודונטיים (₪1.75 ליחידה),Super-Pharm,1.75,1.75,Suspected Unit Price (Keyword)
070847891857,Monster Strawberry מונסטר משקה בטעם תות (₪5.20 ל-),Super-Pharm,5.2,5.2,Suspiciously Low Price
070847896159,Monster Rio מונסטר ריו פונץ׳ (₪5.20 ל-),Super-Pharm,5.2,5.2,Suspiciously Low Price
0745314081405,שמן לזקן - עץ ותבלינים 50 מ״ל (₪2.20 ל-),Super-Pharm,2.2,2.2,Suspiciously Low Price
0762998632426,תחתונים סופגים הוספין M (₪3.25 ליחידה),Super-Pharm,3.25,3.25,Suspected Unit Price (Keyword)
0762998632433,תחתונים סופגים הוספין L (‫₪3.61 ליחידה‬),Super-Pharm,3.61,3.61,Suspected Unit Price (Keyword)
0762998632440,תחתונים סופגים הוספין XL (₪4.64 ליחידה),Super-Pharm,4.64,4.64,Suspected Unit Price (Keyword)
07811801,Canada Dry Ginger Ale Zero קנדה דריי גינגר אייל זירו (₪3.64 ל-),Super-Pharm,3.64,3.64,Suspiciously Low Price
0782126009005,טמפונים אורגניים עם מוליך מתכלה - סופר (₪2.18 ליחידה),Super-Pharm,2.18,2.18,Suspected Unit Price (Keyword)
0796554369488,Dental Repair צמנט דבק דנטלי זמני אישי לכתרים וגשרים משמש גם סתימה זמנית (₪8.43 ל-),Super-Pharm,8.43,8.43,Suspiciously Low Price
096619105489,Kirkland Signature קפסולות כביסה Kirkland Ultra Clean (152 יח’) (₪1.18 ליחידה),Super-Pharm,1.18,1.18,Suspected Unit Price (Keyword)
10900034067,ריינולדס - שקיות זיפר סמול / מדיום 20 יח',Good Pharm,7.9,7.9,Suspiciously Low Price
120030030017,הכפית החכמה לתינוק - בייבי ספון (₪0.90 ליחידה),Super-Pharm,0.9,0.9,Suspected Unit Price (Keyword)
1204660423509,גרעיני עפולה פול קלוי (₪4.80 ל-),Super-Pharm,4.8,4.8,Suspiciously Low Price
1204660423516,גרעיני עפולה ריזוטו (פריכיות אורז) (₪8.80 ל-),Super-Pharm,8.8,8.8,Suspiciously Low Price
1204660423561,גרעיני עפולה פולי סויה קלויים (אדממה) (₪6.80 ל-),Super-Pharm,6.8,6.8,Suspiciously Low Price
1204660423578,גרעיני עפולה אפונה וואסבי (₪6.80 ל-),Super-Pharm,6.8,6.8,Suspiciously Low Price
1204660423585,גרעיני עפולה אפונה קלויה (₪4.80 ל-),Super-Pharm,4.8,4.8,Suspiciously Low Price
1204660423615,גרעיני עפולה בוטן צ'ילי תירס (₪7.80 ל-),Super-Pharm,7.8,7.8,Suspiciously Low Price
1204660423622,גרעיני עפולה פריכיות חריפות (₪8.80 ל-),Super-Pharm,8.8,8.8,Suspiciously Low Price
1204660423639,גרעיני עפולה חטיף סויה קריספי (₪8.80 ל-),Super-Pharm,8.8,8.8,Suspiciously Low Price
1204660423646,גרעיני עפולה קוקוס צ'יפס קלוי (₪9.90 ל-),Super-Pharm,9.9,9.9,Suspiciously Low Price
1204660423653,גרעיני עפולה בוטנים אמריקאים (₪3.90 ל-),Super-Pharm,3.9,3.9,Suspiciously Low Price
1204660423677,גרעיני עפולה קבוקים (₪3.90 ל-),Super-Pharm,3.9,3.9,Suspiciously Low Price
1204660423691,גרעיני עפולה רביולי (בוטן מצופה) (₪7.80 ל-),Super-Pharm,7.8,7.8,Suspiciously Low Price
1204660433799,הום סט מגן מרפק (₪24.50 ליחידה),Super-Pharm,24.5,24.5,Suspected Unit Price (Keyword)
1204660433805,הום סט מגן ברך (₪24.50 ליחידה),Super-Pharm,24.5,24.5,Suspected Unit Price (Keyword)
1204660433812,הום סט מגן קרסול (₪24.50 ליחידה),Super-Pharm,24.5,24.5,Suspected Unit Price (Keyword)
1204660433942,הום סט מגן שורש כף יד (₪24.50 ליחידה),Super-Pharm,24.5,24.5,Suspected Unit Price (Keyword)
1204660453933,Nesti Dante מארז סבונים מוצק ונוזלי אנרגטי - ורדים ופאוני יפני (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
1204660453964,מארז סבונים מוצק ונוזלי מרגיע - לבנדר טוסקני וורבנה לימונית (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
1204660453971,"מארז סבונים מוצק ונוזלי מעורר - קולגן, צוף אמברוזיה וג'ינסנג (₪9.32 ל-)",Super-Pharm,9.32,9.32,Suspiciously Low Price
1215615610165,מסיר אבנית (₪5.20 ל-),Super-Pharm,5.2,5.2,Suspiciously Low Price
1219019010019,מארז מגן תחתון אורגני מעוגל 16 (₪19.87 ליחידה),Super-Pharm,19.87,19.87,Suspected Unit Price (Keyword)
1219019010026,"מארז מגן תחתון אורגני טנגה סה""כ מגן תחתון (₪0.66 ליחידה)",Super-Pharm,0.66,0.66,Suspected Unit Price (Keyword)
1219019010033,מארז מגן תחתון אורגני מיני (₪0.66 ליחידה),Super-Pharm,0.66,0.66,Suspected Unit Price (Keyword)
1222522210364,Care&Beauty Line ג'ל רחצה בניחוח אבטיח (₪4 ל-),Super-Pharm,4.0,4.0,Suspiciously Low Price
1222522210371,Care&Beauty Line ג'ל רחצה בניחוח אננס (₪4 ל-),Super-Pharm,4.0,4.0,Suspiciously Low Price
1222522210388,Care&Beauty Line ג'ל רחצה בניחוח לימון ליים (₪4 ל-),Super-Pharm,4.0,4.0,Suspiciously Low Price
1229129118512,מארז טיפוח לאישה תוצרת גרמניה (₪57.98 ליחידה),Super-Pharm,57.98,57.98,Suspected Unit Price (Keyword)
1229129134598,סכיני גילוח להסרת עור תוצרת גרמניה (‫₪4.99 ליחידה‬),Super-Pharm,4.99,4.99,Suspected Unit Price (Keyword)
1230230213805,OR Aids מארז ראשי תערים מקצועיים (₪0.60 ליחידה),Super-Pharm,0.6,0.6,Suspected Unit Price (Keyword)
1230530513285,ORO מטלית הקסם - מטלית למניעת אדים במשקפיים (רב פעמית),Super-Pharm,7.9,7.9,Suspiciously Low Price
1233733710031,"מארז מגבונים 30 חבילות - היחידים שנקיים מכימיקלים 35X34X29ס""מ (₪10.83 ליחידה)",Super-Pharm,10.83,10.83,Suspected Unit Price (Keyword)
123456789102,SpiderTech קינזיוטייפ לגב תחתון - ספיידרטק 10 יח (₪7.90 ליחידה),Super-Pharm,7.9,7.9,Suspected Unit Price (Keyword)
