retailer_product_id,barcode,product_name,original_retailer_name,current_price,pack_size,normalized_price,store_id,can_normalize
10396170,7290011606350,גלוקוסטנדרט גלוקוצויס טבליות גלוקוז 4 גר-תפוז-20 יח (₪0.96 ל,גלוקוסטנדרט גלוקוצויס טבליות גלוקוז 4 גר-תפוז-20 יח (₪0.96 ל,0.96,20.0,19.2,52001,True
10396180,7290102749805,"לייף אגד רפואי מנייר 2.5 ס""מ*9 מטר 9 מטר (₪1.66 ל-1 מטר)","לייף אגד רפואי מנייר 2.5 ס""מ*9 מטר 9 מטר (₪1.66 ל-1 מטר)",1.66,9.0,14.94,52001,True
10396182,7290102749850,"לייף אגד רפואי שקוף 2.5 ס""מ*9 מטר 9 מטר (₪1.66 ל-1 מטר)","לייף אגד רפואי שקוף 2.5 ס""מ*9 מטר 9 מטר (₪1.66 ל-1 מטר)",1.66,9.0,14.94,52001,True
10396189,6291103652416,נקסקר סופטנפלקס אחיד,3M נקסקר פלסטר סופטנ'פלקס גמיש ונמתח - גודל אחיד (₪1.20 ליחי,1.2,3.0,3.5999999999999996,52001,True
10396190,7290102749799,"לייף אגד רפואי מנייר 1.25 ס""מ*9 מטר 9 מטר (₪1.32 ל-1 מטר)","לייף אגד רפואי מנייר 1.25 ס""מ*9 מטר 9 מטר (₪1.32 ל-1 מטר)",1.32,9.0,11.88,52001,True
10396192,4054596760080,פלסטרים נקסקר מעורב,3M נקסקר פלסטר ווטרפרוף אטום בפני מים שקוף ודק במיוחד – במגו,1.2,3.0,3.5999999999999996,52001,True
10396193,7290118201281,לייף חבישה רכה עם דבק לחתוך עצמי 1 מטר (₪26.90 ל-1 מטר),לייף חבישה רכה עם דבק לחתוך עצמי 1 מטר (₪26.90 ל-1 מטר),26.9,1.0,26.9,52001,True
10396195,7290103439521,"לייף תחבושת אלסטית רוחב 7.5 ס""מ 4.5 מטר 4.5 מטר (‫₪4.42 ל-1 ","לייף תחבושת אלסטית רוחב 7.5 ס""מ 4.5 מטר 4.5 מטר (‫₪4.42 ל-1 ",4.42,5.0,22.1,52001,True
10396198,4054596758742,נקסקר אקטיב מעורב,3M נקסקר פלסטר אקטיב מרופד נצמד לעור לח במגוון גדלים (₪1.20 ,1.2,3.0,3.5999999999999996,52001,True
10396199,7290102749843,"לייף לייף אגד רפואי שקוף רוחב 1.25 ס""מ אורך 9 מטר 9 מטר (₪1.","לייף לייף אגד רפואי שקוף רוחב 1.25 ס""מ אורך 9 מטר 9 מטר (₪1.",1.21,9.0,10.89,52001,True
10396201,7290004351199,"3M נקסקר אגד רפואי דביק מנייר בדיספנסר - עדין ונושם ""0.5 9.1","3M נקסקר אגד רפואי דביק מנייר בדיספנסר - עדין ונושם ""0.5 9.1",1.65,1.0,1.65,52001,True
10396204,7290113820173,"לייף אגד רפואי מבד דמוי משי 2 ס""מ*5 מטר 5 מטר (₪3.78 ל-1 מטר","לייף אגד רפואי מבד דמוי משי 2 ס""מ*5 מטר 5 מטר (₪3.78 ל-1 מטר",3.78,5.0,18.9,52001,True
10396205,0051131995253,3M נקסקר פלסטר ווטרפרוף אטום בפני מים שקוף ודק במיוחד – גודל,3M נקסקר פלסטר ווטרפרוף אטום בפני מים שקוף ודק במיוחד – גודל,1.79,3.0,5.37,52001,True
